,loss,mae,mse,accuracy
distilbert,354.6058349609375,15.147976875305176,354.6058349609375,0.021666666666666667
hmd_distilbert,354.23492431640625,15.323492050170898,354.23492431640625,0.021666666666666667
bnert-time-y,313.9649658203125,14.556096076965332,313.9649658203125,0.018
bnert-time-y_masked_25,323.1144714355469,14.468663215637207,323.1144714355469,0.02033333333333333
bnert-time-y_masked_75,338.57012939453125,15.287087440490723,338.57012939453125,0.014333333333333333
