,f1_macro,f1_micro,accuracy
distilbert,0.6394098530447471,0.8216666666666665,0.8216666666666667
hmd_distilbert,0.6942520457620736,0.8426666666666667,0.8426666666666667
bnert-time-st-y,0.6912962461586976,0.8456666666666667,0.8456666666666667
bnert-time-y,0.6924913963454038,0.8459999999999999,0.846
bnert-time-y_masked_25,0.6896339142058299,0.847,0.847
bnert-time-y_masked_75,0.687620547860238,0.8463333333333334,0.8463333333333334
bnert-pol-st,0.6815576856790206,0.8443333333333334,0.8443333333333334
bnert-pol,0.6931025757143797,0.8453333333333333,0.8453333333333334
